GENESIS-Tabelle: 12411-0017
Bevölkerung: Kreise, Stichtag, Altersgruppen;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;
;;;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen;Altersgruppen
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Insgesamt
31.12.2020;05370;Heinsberg, Landkreis;7278;7407;9191;11790;7583;5350;13244;13936;15635;15210;14974;15718;21309;23013;19782;28347;26691;256458
31.12.2020;05374;Oberbergischer Kreis;8127;8281;10212;12903;8255;5728;14675;14821;15710;15835;15609;15848;22170;23813;20437;28824;30451;271699
31.12.2020;05378;Rheinisch-Bergischer Kreis;7601;8150;10365;13194;8324;5617;13414;13098;15322;16190;16184;17376;24615;25847;21145;30594;36239;283275
31.12.2020;05382;Rhein-Sieg-Kreis;17124;17877;23074;29286;18177;12406;31291;31429;34370;35801;35480;36281;50237;52247;43528;64094;67673;600375
31.12.2020;05512;Bottrop, kreisfreie Stadt;3196;3257;3961;4984;3198;2277;6003;6604;7349;6930;6928;7147;9441;10006;9150;13685;13272;117388
31.12.2020;05513;Gelsenkirchen, kreisfreie Stadt;8442;8286;9969;12752;7677;5341;14983;16251;17133;15422;15371;16069;19686;19790;18132;26920;26881;259105
31.12.2020;05515;Münster, kreisfreie Stadt;8673;8468;10176;12650;7351;7115;31257;30557;26068;21425;18093;17503;21411;21854;18282;26395;29125;316403
31.12.2020;05554;Borken, Landkreis;11669;11510;14415;18739;11905;8224;21109;22360;22967;21990;21390;23138;31392;32369;26121;37102;35498;371898
31.12.2020;05558;Coesfeld, Landkreis;6627;6601;8122;10300;6622;4837;11588;11267;12438;12773;12676;13340;18821;19924;17095;24592;23089;220712
31.12.2020;05562;Recklinghausen, Landkreis;17157;17588;21606;27057;17234;11862;31521;32707;35651;34865;35384;37915;50119;52079;47734;72103;71017;613599
31.12.2020;05566;Steinfurt, Landkreis;13590;13673;17084;22043;14139;10131;25671;24956;26453;26318;25761;27840;38179;39070;31918;45603;45768;448197
31.12.2020;05570;Warendorf, Landkreis;8033;8230;10515;13465;8931;6151;14974;14336;15821;16043;16212;17262;23148;23676;20474;29756;30390;277417
31.12.2020;05711;Bielefeld, kreisfreie Stadt;10102;9850;12418;15614;9701;7077;23249;24161;23932;21448;19496;20283;24206;24363;20620;30897;36092;333509
31.12.2020;05754;Gütersloh, Landkreis;10978;11048;14026;17903;11483;8041;20717;20820;22662;22232;21730;23455;30447;30696;25308;35422;37850;364818
31.12.2020;05758;Herford, Landkreis;7065;7286;9233;11938;7579;5063;13202;13157;14674;14722;14498;15440;20435;21407;18428;26717;29703;250547
31.12.2020;05762;Höxter, Landkreis;3663;3845;4897;6614;4400;2905;7350;7211;7785;7493;7633;8169;11630;12351;11078;16248;16457;139729
31.12.2020;05766;Lippe, Landkreis;10224;10640;13521;17496;10734;7337;18780;18774;20100;19426;18936;19995;27277;28790;25580;37810;41550;346970
31.12.2020;05770;Minden-Lübbecke, Landkreis;8907;9215;11702;15097;9619;6515;16881;17082;18283;17376;17131;18595;24785;26401;23363;33178;36140;310270
31.12.2020;05774;Paderborn, Landkreis;9326;9517;11796;14694;9275;6901;20984;21604;21624;19694;18262;18397;23006;24043;21314;29779;28119;308335
